No,Title,Authors,Year,Venue,Category,DOI,URL,Symplectic_IDs
1,A Methodology for Incompleteness-Tolerant and Modular Gradual Semantics          for Argumentative Statement Graphs,"Antonio Rago, Stylianos Loukas Vasileiou, Son Tran, Francesca Toni, William Yeoh",2025,"Proceedings of the 22nd International Conference on Principles of          Knowledge Representation and Reasoning, KR 2025, Melbourne, Australia,          November 1-17, 2025",conference,10.24963/KR.2025/49,https://doi.org/10.24963/kr.2025/49,1484020
2,"ADA-X: An Online System for Fully Automated, Explainable Review          Aggregation","Lingjun Gao, Hafizh Muyassar, Yeva Hunanyan, Shane Pongpanich, Antonio Rago, Francesca Toni",2025,"ECAI 2025 - 28th European Conference on Artificial Intelligence,          25-30 October 2025, Bologna, Italy - Including 14th Conference on          Prestigious Applications of Intelligent Systems (PAIS 2025)",conference,10.3233/FAIA251444,https://doi.org/10.3233/FAIA251444,1486733
3,Aggregating bipolar opinions through bipolar assumption-based argumentation,"Charles Dickie, Stefan Lauren, Francesco Belardinelli, Antonio Rago, Francesca Toni",2025,Auton. Agents Multi Agent Syst.,journal,10.1007/S10458-024-09684-3,https://doi.org/10.1007/s10458-024-09684-3,1414925
4,Argumentative Debates for Transparent Bias Detection [Technical Report],"Hamed Ayoobi, Nico Potyka, Anna Rapberger, Francesca Toni",2025,CoRR,preprint,10.48550/ARXIV.2508.04511,https://doi.org/10.48550/arXiv.2508.04511,1639037
5,Argumentative Large Language Models for Explainable and Contestable          Claim Verification,"Gabriel Freedman, Adam Dejl, Deniz Gorur, Xiang Yin, Antonio Rago, Francesca Toni",2025,"Thirty-Ninth AAAI Conference on Artificial Intelligence, Thirty-Seventh          Conference on Innovative Applications of Artificial Intelligence,          Fifteenth Symposium on Educational Advances in Artificial Intelligence,          AAAI 2025, Philadelphia, PA, USA, February 25 - March 4, 2025",conference,10.1609/AAAI.V39I14.33637,https://doi.org/10.1609/aaai.v39i14.33637,1418452
6,Argumentative LLMs for Legal Information Entailment,"Charlie Lindsay, Francesca Toni, Tien Dat Nguyen, Tan Minh Nguyen, Trang Pham Ngoc Anh, Quang-Huy Chu, Hoang Nhat Nguyen, Le Minh Nguyen",2025,"Legal Knowledge and Information Systems - JURIX 2025: The Thirty-eighth          Annual Conference, Turin, Italy, 9-11 December 2025",conference,10.3233/FAIA251582,https://doi.org/10.3233/FAIA251582,1647781
7,Argumentative review aggregation and dialogical explanations,"Antonio Rago, Oana Cocarascu, Joel Oksanen, Francesca Toni",2025,Artif. Intell.,journal,10.1016/J.ARTINT.2025.104291,https://doi.org/10.1016/j.artint.2025.104291,1420312
8,Argumentatively Coherent Judgmental Forecasting,"Deniz Gorur, Antonio Rago, Francesca Toni",2025,"ECAI 2025 - 28th European Conference on Artificial Intelligence,          25-30 October 2025, Bologna, Italy - Including 14th Conference on          Prestigious Applications of Intelligent Systems (PAIS 2025)",conference,10.3233/FAIA250997,https://doi.org/10.3233/FAIA250997,1484018
9,Can Large Language Models perform Relation-based Argument Mining?,"Deniz Gorur, Antonio Rago, Francesca Toni",2025,"Proceedings of the 31st International Conference on Computational          Linguistics, COLING 2025, Abu Dhabi, UAE, January 19-24, 2025",conference,,https://aclanthology.org/2025.coling-main.569/,1366416
10,Counterfactual Explanations Under Model Multiplicity and Their Use          in Computational Argumentation,"Gianvincenzo Alfano, Adam Gould, Francesco Leofante, Antonio Rago, Francesca Toni",2025,"Proceedings of the Thirty-Fourth International Joint Conference on          Artificial Intelligence, IJCAI 2025, Montreal, Canada, August 16-22,          2025",conference,10.24963/IJCAI.2025/481,https://doi.org/10.24963/ijcai.2025/481,1477601
11,Evaluating Uncertainty Quantification Methods in Argumentative Large          Language Models,"Kevin Zhou, Adam Dejl, Gabriel Freedman, Lihu Chen, Antonio Rago, Francesca Toni",2025,"Findings of the Association for Computational Linguistics: EMNLP          2025, Suzhou, China, November 4-9, 2025",conference,,https://aclanthology.org/2025.findings-emnlp.1184/,1627925
12,"Explainable AI, energy and critical infrastructure systems","Francesco Leofante, Andre Artelt, Demetrios G. Eliades, Anna Korre, Francesca Toni, Tim Miller",2025,AI Mag.,journal,10.1002/AAAI.70033,https://doi.org/10.1002/aaai.70033,1611088
13,Explainable Prediction of the Mechanical Properties of Composites          with CNNs,"Varun Raaghav, Dimitrios Bikos, Antonio Rago, Francesca Toni, Maria Charalambides",2025,"ECAI 2025 - 28th European Conference on Artificial Intelligence,          25-30 October 2025, Bologna, Italy - Including 14th Conference on          Prestigious Applications of Intelligent Systems (PAIS 2025)",conference,10.3233/FAIA251455,https://doi.org/10.3233/FAIA251455,1484022
14,Exploring the Effect of Explanation Content and Format on User Comprehension          and Trust in Healthcare,"Antonio Rago, Bence Palfi, Purin Sukpanichnant, Kavyesh Vivek, Hannibal Nabli, Olga Kostopoulou, James Kinross, Francesca Toni",2025,"ECAI 2025 - 28th European Conference on Artificial Intelligence,          25-30 October 2025, Bologna, Italy - Including 14th Conference on          Prestigious Applications of Intelligent Systems (PAIS 2025)",conference,10.3233/FAIA251479,https://doi.org/10.3233/FAIA251479,1484023
15,Exploring the Potential for Large Language Models to Demonstrate Rational          Probabilistic Beliefs,"Gabriel Freedman, Francesca Toni",2025,"Proceedings of the 38th International Florida Artificial Intelligence          Research Society Conference, FLAIRS 2025, Daytona Beach, FL, USA,          May 20-23, 2025",conference,10.32473/FLAIRS.38.1.138892,https://doi.org/10.32473/flairs.38.1.138892,1476283
16,Free Argumentative Exchanges for Explaining Image Classifiers,"Avinash Kori, Antonio Rago, Francesca Toni",2025,"Proceedings of the 24th International Conference on Autonomous Agents          and Multiagent Systems, AAMAS 2025, Detroit, MI, USA, May 19-23,          2025",conference,10.5555/3709347.3743638,https://dl.acm.org/doi/10.5555/3709347.3743638,1420152
17,Greedy ABA Learning for Case-Based Reasoning,"Emanuele De Angelis, Maurizio Proietti, Francesca Toni",2025,"Proceedings of the 24th International Conference on Autonomous Agents          and Multiagent Systems, AAMAS 2025, Detroit, MI, USA, May 19-23,          2025",conference,10.5555/3709347.3743571,https://dl.acm.org/doi/10.5555/3709347.3743571,1485369
18,Heterogeneous Graph Neural Networks for Assumption-Based Argumentation,"Preesha Gehlot, Anna Rapberger, Fabrizio Russo, Francesca Toni",2025,CoRR,preprint,10.48550/ARXIV.2511.08982,https://doi.org/10.48550/arXiv.2511.08982,1631764
19,Heterogeneous Graph Neural Networks for Credulous Acceptance of Assumptions          in ABA,"Preesha Gehlot, Anna Rapberger, Fabrizio Russo, Francesca Toni",2025,"Proceedings of the Second International Workshop on Argumentation          and Applications (Arg&App 2025), Melbourne, Australia, November          11, 2025",conference,,https://hal.science/hal-05339535/document#page=16,1631862
20,Heterogeneous graph neural networks with post-hoc explanations for          multi-modal and explainable land use inference,"Xuehao Zhai, Junqi Jiang, Adam Dejl, Antonio Rago, Fangce Guo, Francesca Toni, Aruna Sivakumar",2025,Inf. Fusion,journal,10.1016/J.INFFUS.2025.103057,https://doi.org/10.1016/j.inffus.2025.103057,1400292
